     laywind   0   0
          30
 end-of-data   0   0
 'START departure coefficients version 1.0'
        128 number of layers
         61 number of level
         100           1           1
 8.1699D-07 8.4211D-05 1.2627D-04 1.7868D-04 2.3749D-04 3.0878D-04 3.9833D-04 5.1002D-04 6.5457D-04 8.4228D-04
 1.0894D-03 1.4137D-03 1.8319D-03 2.3847D-03 3.0987D-03 4.0171D-03 5.1623D-03 6.6158D-03 8.4040D-03 1.0529D-02
 1.3093D-02 1.6072D-02 1.9488D-02 2.3318D-02 2.7466D-02 3.2062D-02 3.6912D-02 4.2172D-02 4.7716D-02 5.3403D-02
 5.9430D-02 6.5182D-02 7.1109D-02 7.7375D-02 8.3919D-02 9.0758D-02 9.7907D-02 1.0612D-01 1.1519D-01 1.2534D-01
 1.3650D-01 1.4951D-01 1.6477D-01 1.8300D-01 2.0509D-01 2.3206D-01 2.6538D-01 3.0670D-01 3.5777D-01 4.2026D-01
 4.9577D-01 5.8482D-01 6.8712D-01 7.9995D-01 8.9404D-01 9.8691D-01 1.0719D+00 1.1427D+00 1.1931D+00 1.2187D+00
 1.2176D+00 1.1929D+00 1.1517D+00 1.1031D+00 1.0565D+00 1.0271D+00 1.0090D+00 1.0016D+00 1.0000D+00 1.0003D+00
 1.0003D+00 1.0003D+00 1.0003D+00 1.0003D+00 1.0003D+00 1.0002D+00 1.0002D+00 1.0002D+00 1.0001D+00 1.0000D+00
 9.9999D-01 9.9994D-01 9.9985D-01 9.9985D-01 9.9994D-01 9.9992D-01 9.9991D-01 9.9991D-01 9.9990D-01 9.9991D-01
 9.9991D-01 9.9991D-01 9.9993D-01 9.9994D-01 9.9996D-01 1.0000D+00 1.0001D+00 1.0002D+00 9.9940D-01 9.9987D-01
 9.9995D-01 1.0000D+00 1.0001D+00 1.0001D+00 1.0002D+00 1.0002D+00 1.0002D+00 1.0002D+00 1.0002D+00 1.0002D+00
 1.0001D+00 1.0001D+00 1.0001D+00 1.0000D+00 9.9999D-01 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00
 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00
         100           2           1
 1.3240D-06 4.0584D-01 4.8423D-01 5.5988D-01 6.3950D-01 7.2663D-01 8.2368D-01 9.3189D-01 1.0540D+00 1.1927D+00
 1.3511D+00 1.5309D+00 1.7326D+00 1.9591D+00 2.2090D+00 2.4820D+00 2.7732D+00 3.0833D+00 3.4050D+00 3.7295D+00
 4.0561D+00 4.3739D+00 4.6776D+00 4.9601D+00 5.2131D+00 5.4409D+00 5.6340D+00 5.7989D+00 5.9316D+00 6.0295D+00
 6.1004D+00 6.1306D+00 6.1349D+00 6.1190D+00 6.0822D+00 6.0249D+00 5.9439D+00 5.8608D+00 5.7694D+00 5.6654D+00
 5.5460D+00 5.4171D+00 5.2782D+00 5.1303D+00 4.9744D+00 4.8108D+00 4.6411D+00 4.4665D+00 4.2876D+00 4.1040D+00
 3.9159D+00 3.7216D+00 3.5199D+00 3.3095D+00 3.1297D+00 2.9406D+00 2.7408D+00 2.5303D+00 2.3099D+00 2.0820D+00
 1.8525D+00 1.6328D+00 1.4359D+00 1.2693D+00 1.1391D+00 1.0782D+00 1.0347D+00 1.0082D+00 9.9778D-01 1.0014D+00
 1.0058D+00 1.0105D+00 1.0151D+00 1.0190D+00 1.0221D+00 1.0242D+00 1.0252D+00 1.0252D+00 1.0243D+00 1.0227D+00
